participantID,gender,maritalStatus,age,housing,townType,governorate,employment ,workLocation,education,beforeIncome,afterIncome,haveGarden,timeInGardenYN,whyNoTimeInGarden,aloneInGarden,familyInGarden,kidsInGarden,neighborsInGarden,friendsInGarden,afterGardenRelaxing,afterGardenExercising,afterGardenGardening,afterGardenOrchard,afterGardenOrnamentals,afterGardenLandscaping,afterGardenLivestock,afterGardenBirdPhotography,afterGardenHarvesting,visitGreenspace,whyNoVisitGreenspace,aloneGreenspace,familyGreenspace,kidsGreenspace,neighborsGreenspace,friendsGreenspace,walkingGreenspace,bicyclingGreenspace,carGreenspace,busGreenspace,taxiGreenspace,distanceGreenspace_under0.5,distanceGreenspace_0.5to1,distanceGreenspace_1to2,distanceGreenspace_over2,afterGreenspaceExercise,afterGreenspaceRelaxing,afterGreenspaceBirdPhotography,afterGreenspaceHarvesting,visitNatural,whyNoVisitNatural,aloneNatural,familyNatural,kidsNatural,neighborsNatural,friendsNatural,walkingNatural,bicyclingNatural,carNatural,busNatural,taxiNatural,distanceNatural_under0.5,distanceNatural_0.5to1,distanceNatural_1to2,distanceNatural_2to4,distanceNatural_over4,afterNaturalExercise,afterNaturalRelaxing,afterNaturalBirdPhotography,afterNaturalScenery,afterNaturalHarvesting,afterNaturalGathering,afterNaturalHistoric,afterNaturalCamping,afterNaturalLandscaping,afterNaturalCultivation,afterNaturalOrchard,afterNaturalLivestock
Participant ID,Gender,Marital Status,Age Group,Type of housing:,Place of Living,Select you Governorate ,Employment ,Place of work,Education,Income before the pandemic,Income after the pandemic,Do you have a home garden or backyard ,Do you spend sometime in your home garden,Why don't you spend anytime in your home garden or backyard,You spend time in your home garden: Alone,You spend time in your home garden: With the family,You spend time in your home garden: With the kids,You spend time in your home garden: With neighbors,You spend time in your home garden: With friends,"After the occurrence of COVID-19 epidemic, you stay at your home garden for relaxing, picnicking, socializing and gathering with the family and friends:","After the occurrence of COVID-19 epidemic, you stay at your home garden for exercising, sporting and walking:","After the occurrence of COVID-19, you plant vegetables, legumes plants and crops in your home garden: ","After the occurrence of COVID-19, you plant and take care of olive trees and other fruitful trees in your home garden: ","After the occurrence of COVID-19, you plant and take care of ornamental trees and plants in your home garden: ","After the occurrence of COVID-19, you do landscaping, maintain retaining walls, cut the lawn and plowing in your home garden: ","After the the occurrence of COVID-19, you take care of livestock and domestic birds in your home garden:","After the the occurrence of COVID-19, you do bird feeding/birdwatching and photography in your home garden:","After the the occurrence of COVID-19, you search for nests and hunt birds your home garden:",Do you visit urban parks and open/green spaces inside cities and towns:,Why don't you visit any urban park or green/open urban spaces. Select the most important reason:,You usually go to urban parks/green and open spaces: Alone,You usually go to urban parks/green and open spaces: With the family,You usually go to urban parks/green and open spaces: With the kids,You usually go to urban parks/green and open spaces: With neighbors,You usually go to urban parks/green and open spaces: With friends,The mode of transportation you used regularly to go to urban parks and urban green/open spaces was: Walking,The mode of transportation you used regularly to go to urban parks and urban green/open spaces was: Bicycling,The mode of transportation you used regularly to go to urban parks and urban green/open spaces was: By car,The mode of transportation you used regularly to go to urban parks and urban green/open spaces was: By bus,The mode of transportation you used regularly to go to urban parks and urban green/open spaces was: By taxi,The distance you cross from your home to your most preferable/visited urban park: Less than 0.5 KM,The distance you cross from your home to your most preferable/visited urban park: Between 0.5 - 1 KM,The distance you cross from your home to your most preferable/visited urban park: Between 1 - 2 KM,The distance you cross from your home to your most preferable/visited urban park: More than 2 KM,"After the the occurrence of COVID-19, while visiting urban parks/green/open spaces, you do exercising, sporting, juggling, running activities :","After the the occurrence of COVID-19, you  go to urban parks and green/open spaces for relaxing, socializing and picnicking:","After the the occurrence of COVID-19, you  go to urban parks and green/open spaces for birdwatching and photography :","After the the occurrence of COVID-19, you  go to urban parks and green/open spaces for hunting and nest searching :",Do you visit natural open spaces outside or around cities and towns:,Why don't you visit natural open spaces (what is the main reason?):,"After the the occurrence of COVID-19, you go to forests and open natural spaces: Alone","After the the occurrence of COVID-19, you go to forests and open natural spaces: With the family","After the the occurrence of COVID-19, you go to forests and open natural spaces: With the kids","After the the occurrence of COVID-19, you go to forests and open natural spaces: With neighbors","After the the occurrence of COVID-19, you go to forests and open natural spaces: With friends",The mode of transportation you used regularly to forests and open natural spaces: Walking,The mode of transportation you used regularly to forests and open natural spaces: Bicycling,The mode of transportation you used regularly to forests and open natural spaces: By car,The mode of transportation you used regularly to forests and open natural spaces: By bus,The mode of transportation you used regularly to forests and open natural spaces: By taxi,The distance you cross from your home to your most preferable/visited urban park: Less than 0.5 KM,The distance you cross from your home to your most preferable/visited urban park: Between 0.5 - 1 KM,The distance you cross from your home to your most preferable/visited urban park: Between 1 - 2 KM,The distance you cross from your home to your most preferable/visited urban park: Between 2 - 4 KM,The distance you cross from your home to your most preferable/visited urban park: More than 4 KM,"After the the occurrence of COVID-19, while visiting natural open spaces, you do exercising, sporting, juggling, running activities:","After the the occurrence of COVID-19, you visit natural open spaces for relaxing, picnicking and socializing:","After the the occurrence of COVID-19, you go to natural open spaces for wildlife and birdwatching and photography :","After the the occurrence of COVID-19, you go to natural open spaces for appreciating scenery from your car :","After the the occurrence of COVID-19, you go to natural open spaces for hunting and nest searching :","After the the occurrence of COVID-19, you go to natural open spaces for gathering wild food and plants:","After the the occurrence of COVID-19, you go to natural open spaces for visiting historic and heritage site and exploring new natural sites :","After the the occurrence of COVID-19, you go to natural open spaces for camping:","After the the occurrence of COVID-19, you go to natural open spaces for  plowing and/or landscaping of my private land:","After the the occurrence of COVID-19, you go to natural open spaces for  crop cultivation and harvesting: ","After the the occurrence of COVID-19, you go to natural open spaces for planting and taking care of olive trees and other fruitful trees:","After the the occurrence of COVID-19, you go to natural open spaces for taking care of livestock, grazing and/or beekeeping:"
1,Male,Single,18 - 25,House,Town,Jenin,Teacher,Inside the West Bank,Bachelor,"2,001 - 4,000 NIS",The same,Yes,Yes,,After the pandemic occurred,After the pandemic occurred,,Before the pandemic,Before the pandemic,Much more often,Much more often,More often,I don't do this activity,Much less,I don't do this activity,I don't do this activity,Much more often,Much more often,Yes,,After the pandemic occurred,Before the pandemic,,,Before the pandemic,After the pandemic occurred,,Before the pandemic,,,,After the pandemic occurred,,Before the pandemic,Much more often,More often,Much more often,I don't do this activity,Yes,,After the pandemic occurred,After the pandemic occurred,,,Before the pandemic,After the pandemic occurred,,Before the pandemic,,,,,After the pandemic occurred,,Before the pandemic,More often,More often,Much more often,Much less,I don't do this activity,Much more often,More often,Much less,Less often,About the same,About the same,I don't do this activity
2,Male,Single,18 - 25,Apartment,Town,Jericho,Governmental Employee,Inside the Greenline,Highschool or Less,"2,001 - 4,000 NIS",Severely decreased,Yes,Yes,,After the pandemic occurred,,After the pandemic occurred,,Before the pandemic,More often,More often,More often,Much more often,Much more often,More often,I don't do this activity,Much more often,I don't do this activity,Yes,,After the pandemic occurred,,After the pandemic occurred,,Before the pandemic,After the pandemic occurred,,Before the pandemic,,,After the pandemic occurred,,,Before the pandemic,Much more often,Less often,Much more often,I don't do this activity,Yes,,After the pandemic occurred,Before the pandemic,,,Before the pandemic,After the pandemic occurred,,Before the pandemic,Before the pandemic,,,After the pandemic occurred,,,Before the pandemic,Much more often,Much more often,Much more often,More often,I don't do this activity,Much more often,Much more often,Much less,More often,I don't do this activity,More often,I don't do this activity
3,Female,Married,36 - 45,Apartment,City,Tubas,Private Sector Employee,Inside the West Bank,Master,"Less than 2,000 NIS",The same,No,,,,,,,,,,,,,,,,,No,The available parks and green areas are not appropriate for receiving people,,,,,,,,,,,,,,,,,,,Yes,,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",,,"Before the pandemic, After the pandemic occurred",,,,,,"Before the pandemic, After the pandemic occurred",,About the same,About the same,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity
4,Male,Married,36 - 45,House,City,Tubas,Governmental Employee,Inside the West Bank,PhD or more,"4,001 - 6,000 NIS",The same,Yes,Yes,,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",,,More often,More often,More often,About the same,More often,More often,I don't do this activity,I don't do this activity,I don't do this activity,No,Not one of my interests,,,,,,,,,,,,,,,,,,,Yes,,"Before the pandemic, After the pandemic occurred",After the pandemic occurred,After the pandemic occurred,,"Before the pandemic, After the pandemic occurred",After the pandemic occurred,,"Before the pandemic, After the pandemic occurred",,,Before the pandemic,,After the pandemic occurred,After the pandemic occurred,,Much more often,More often,More often,More often,I don't do this activity,More often,Much more often,I don't do this activity,More often,More often,About the same,I don't do this activity
5,Male,Married, 26 - 35,Apartment,Refugee Camp,Tulkarem,Private Sector Employee,Inside the West Bank,Bachelor,"6,001 - 8,000 NIS",Increased,No,,,,,,,,,,,,,,,,,Yes,,,,,,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",,"Before the pandemic, After the pandemic occurred",,,,,,"Before the pandemic, After the pandemic occurred",Less often,Less often,Less often,I don't do this activity,Yes,,,"Before the pandemic, After the pandemic occurred",,,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",,"Before the pandemic, After the pandemic occurred",,,,,"Before the pandemic, After the pandemic occurred",,,Less often,Less often,Less often,Less often,I don't do this activity,I don't do this activity,I don't do this activity,Less often,Less often,Less often,Less often,Less often
6,Female,Married,36 - 45,House,City,Nablus,,,Master,I prefer not to answer,I have no income,Yes,Yes,,,"Before the pandemic, After the pandemic occurred",,,,About the same,About the same,About the same,About the same,About the same,About the same,I don't do this activity,About the same,I don't do this activity,Yes,,,"Before the pandemic, After the pandemic occurred",,,"Before the pandemic, After the pandemic occurred",,,"Before the pandemic, After the pandemic occurred",,,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",,,About the same,About the same,About the same,I don't do this activity,Yes,,,"Before the pandemic, After the pandemic occurred",,,"Before the pandemic, After the pandemic occurred",,,"Before the pandemic, After the pandemic occurred",,,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",,,,About the same,About the same,About the same,Less often,I don't do this activity,About the same,About the same,I don't do this activity,I don't do this activity,I don't do this activity,About the same,I don't do this activity
7,Male,Married, 26 - 35,House,Town,Nablus,Governmental Employee,Inside the West Bank,Master,"4,001 - 6,000 NIS",The same,Yes,Yes,,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",,,More often,About the same,About the same,About the same,About the same,About the same,About the same,More often,About the same,No,Because of lack of time,,,,,,,,,,,,,,,,,,,Yes,,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",,,,,"Before the pandemic, After the pandemic occurred",,,,,,,"Before the pandemic, After the pandemic occurred",About the same,About the same,More often,More often,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,About the same,About the same,About the same,I don't do this activity
8,Male,,46 - 55,House,City,Tubas,NGO Employee,Inside the West Bank,Bachelor,"6,001 - 8,000 NIS",The same,Yes,Yes,,,After the pandemic occurred,,,,,More often,More often,More often,More often,More often,I don't do this activity,I don't do this activity,I don't do this activity,Yes,,,"Before the pandemic, After the pandemic occurred",,,,"Before the pandemic, After the pandemic occurred",,,,,,,"Before the pandemic, After the pandemic occurred",,More often,Less often,I don't do this activity,I don't do this activity,No,Because of lack of time,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Male,Married,36 - 45,House,Village,Tubas,Merchant,Inside the West Bank,Master,"4,001 - 6,000 NIS",The same,Yes,No,Because of the noise,,,,,,,,,,,,,,,Yes,,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",,"Before the pandemic, After the pandemic occurred",,,"Before the pandemic, After the pandemic occurred",,,,,,"Before the pandemic, After the pandemic occurred",About the same,About the same,I don't do this activity,I don't do this activity,Yes,,,"Before the pandemic, After the pandemic occurred","Before the pandemic, After the pandemic occurred",,,,,"Before the pandemic, After the pandemic occurred",,,,,,"Before the pandemic, After the pandemic occurred",,About the same,I don't do this activity,I don't do this activity,About the same,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,I don't do this activity,About the same,About the same,About the same
